bistable tp_dist
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 1.036948 
1 1.077561 
1 1.342764 
1 0.719274 
1 1.087394 
1 0.8312031 
1 1.765096 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.7521969 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.8964762 
1 1.118311 
1 1.147817 
0 NA 
0 NA 
0 NA 
1 0.9461933 
1 0.7544544 
1 0.9723977 
1 0.7879826 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.809065 
1 1.093819 
0 NA 
0 NA 
0 NA 
1 0.9498363 
1 1.011603 
0 NA 
1 0.9926751 
1 0.944289 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.6933169 
1 0.944807 
0 NA 
1 1.056951 
1 0.9929264 
1 1.090213 
1 0.8745492 
1 1.242023 
