dist_left dist_right dist_tp rmse_drift n_bis
0.2375231 0.5193061 0.60498 0.649178 65.75 
0.4340609 0.360225 0.830481 0.5987122 76.15 
0.3263412 0.5773454 0.7988109 0.8050595 52.625 
0.2997576 0.1286459 0.512874 0.7833759 90.875 
0.4162771 0.122489 0.4939337 0.5563588 90.05 
0.2806526 0.2018499 0.68837 0.7249859 88.1 
0.273936 0.1220108 0.8754544 0.9183521 81.675 
0.2323054 0.1301465 0.8981726 0.7250892 83.05 
0.1367814 0.1878127 0.5340628 0.7885993 86.125 
0.1549613 0.2277133 0.4009997 0.5789938 90.55 
0.2318907 0.5420354 0.5369984 0.6871317 93.275 
0.632721 0.1165285 0.6128555 0.8757579 71.075 
0.315939 0.1835652 0.6985443 0.7575349 90.825 
0.4677831 0.3270872 0.5015407 0.8245333 91.25 
0.1391358 0.1919052 0.4680881 0.6407402 91.9 
0.1110256 0.1259851 0.3281035 1.02344 96.075 
0.2095117 0.2148198 0.6952827 0.9439743 83.85 
0.226216 0.1225524 1.08257 0.7258467 77.575 
0.3992404 0.2922568 0.8328482 1.105705 56.7 
0.1641516 0.1249113 0.7578431 0.663227 88.425 
0.2491174 0.5256629 0.6763021 0.60297 70 
0.5766321 0.3426681 0.7927966 0.533022 46.525 
0.2024262 0.2334277 0.4955587 0.5189569 92.4 
0.278884 0.3069236 1.03766 0.8883698 71.625 
0.3699857 0.2301569 1.280179 0.8085792 81.9 
0.09477184 0.5062333 0.6196467 0.5713851 98.2 
0.130481 0.5189636 0.7210575 0.6662922 88.25 
0.3176904 0.4621955 0.5168214 0.7808213 75.125 
0.3136394 0.1598062 0.900299 0.6858717 92.05 
0.1485971 0.1583254 0.7896378 0.6277805 95.675 
0.1086677 0.5780231 0.5890548 0.659879 61.875 
0.5647962 0.1747093 0.6465797 0.7215017 85.8 
0.224049 0.3182191 0.929198 0.6629903 93.575 
0.1482265 0.1571813 0.7410364 0.9613108 92.875 
0.1226992 0.1900917 1.302942 0.7989047 89.475 
0.2327774 0.2409413 0.5452461 0.8045255 90.625 
0.2850115 0.5692419 0.4046347 0.9256064 70.175 
0.4007108 0.1116112 0.5152872 0.7770757 86.65 
0.4456381 0.7317203 0.6294789 0.8892987 42.875 
0.4499729 0.1774375 0.6247973 0.8370557 83.5 
0.2177587 0.1685396 0.7029782 0.6657777 94.325 
0.1902898 0.2490845 0.5542511 0.5518888 87.075 
0.3277186 0.16481 0.6091969 0.550672 88.425 
0.3576797 0.7959952 0.9021413 0.6057308 51.4 
0.1936645 0.4775724 0.4977587 0.8574944 87.225 
0.4996324 0.6468366 1.128674 0.8003859 39.5 
0.2426698 0.3204034 1.001824 0.9113824 68.625 
0.117912 0.2696178 0.5007008 0.595053 95.275 
0.1979061 0.3733835 0.6601647 0.7305485 90.9 
0.1530032 0.1453217 0.7385408 0.6141456 92.225 
0.2113527 0.1769305 1.098025 0.9701772 76.975 
0.148614 0.1073504 0.4351757 0.7008708 97 
0.3073302 0.6184565 0.5836858 0.7906781 62.15 
0.21889 0.1843124 0.8305864 0.5172957 86.15 
0.5489593 0.1339369 0.5129556 1.259579 71.75 
0.1602969 0.2652947 0.939326 0.6372106 71.375 
0.1411256 0.188683 0.6230185 1.063882 89.775 
0.1166637 0.2434306 0.3889537 0.9688554 91.175 
0.2506775 0.282499 0.5306592 0.718116 88.1 
0.3678784 0.1608768 0.4160141 0.8169413 94.85 
0.5380476 0.2317598 0.4473159 0.6022269 85.9 
0.2917045 0.4899759 0.5230625 0.9040186 87.925 
0.1162532 0.1578716 0.3914278 0.6472553 89.625 
0.2573412 0.1330191 0.4580197 0.769987 84.35 
0.2637054 0.2949174 0.7027779 0.8059631 84.425 
0.2665169 0.1007303 0.5136161 0.7250918 83.925 
0.1931032 0.1699711 0.6050964 0.8526331 88.325 
0.1620838 0.3817997 0.6142415 0.5959989 82.45 
0.09484915 0.2263299 0.7972807 0.7071705 90.15 
0.3785165 0.1788264 0.3795672 0.7822329 95.625 
0.1528927 0.1488918 0.3916736 0.7231196 97.275 
0.2935509 0.1964062 0.5179305 0.6307604 90.225 
0.5539762 0.1524029 0.4591846 0.750765 87.675 
0.186421 0.2789924 0.3588692 0.7221881 84.95 
0.2747771 0.1846886 0.6481811 0.7821179 80.625 
0.3095737 0.09500322 0.7523835 0.6304653 90.375 
0.1779882 0.4944733 0.4485567 0.7532007 89.375 
0.184547 0.0880234 0.9498197 0.7223721 89.575 
0.09598498 0.1708143 0.5259203 0.7261237 93.425 
0.1950349 0.1821063 0.6560689 0.6433558 88.85 
0.1004882 0.1910935 0.5515844 0.9329495 86.475 
0.9300489 0.2760926 0.5168602 0.6243188 44.55 
0.3013896 0.1840788 0.4939118 0.6583769 88.5 
0.2910834 0.5689165 0.433212 0.8559493 81.675 
0.1775495 0.4918101 0.8061616 0.8471518 83.825 
0.103084 0.1545071 0.5064155 0.7486053 95.45 
0.2293394 0.5355178 0.5431491 0.8984104 72.375 
0.193457 0.1805149 0.6061106 0.5464544 95.775 
0.1698643 0.1985358 1.148305 0.4794458 78.725 
0.1173397 0.2759796 0.9050315 1.068521 52.225 
0.1375333 0.09658884 0.3233633 0.7385986 96.175 
0.2312459 0.4694952 0.5255728 0.6117151 84.675 
0.2871752 0.9058335 0.6890157 0.6385791 75.525 
0.4057545 0.09556919 0.6155151 0.6778258 92.975 
0.2108485 0.1206871 0.6182149 0.547043 83.45 
0.33889 0.3333805 1.019567 0.5990168 68.425 
0.2762709 0.1286151 0.5862273 0.6848307 92.25 
0.3015233 0.1707668 0.426725 0.6901885 90.125 
0.1832573 0.09596956 0.2359228 0.620538 88.975 
0.6722074 0.08350574 0.6950248 0.6533274 70.15 
